ReferenceID,Country,Product_Code,Product_Name,Subscription_Start_Date,Subscription_Deactivation_Date,Subscription_Duration_Months,Order_Date_Kyiv,Return_Date_Kyiv,Last_Rebill_Date_Kyiv,Has_Chargeback,Has_Refund,Sales_Agent_Name,Source,Campaign_Name,Total_Amount,Discount_Amount,Number_Of_Rebills,Original_Amount,Returned_Amount,Total_Rebill_Amount
GYB220316-7477-67124,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,16-3-2022 0:00:00,,36,17-3-2022 1:43:00,,,No,No,Jules,Chat,AQ_9,684,0,,684,,
GYB220316-7871-56152,US,aq-one-time-pc-support,Support One Time PC Support,,,0,16-3-2022 23:50:00,,,No,No,Jackie,Call,AQ_25,"96,85","52,15",,149,,
GYB220317-2559-72126,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,17-3-2022 0:00:00,,36,18-3-2022 1:44:00,,,No,No,,,,684,0,,684,,
GYB220317-7910-35122,CA,aq-gyb-support-6-month-plan,Support 6-month plan,17-3-2022 0:00:00,17-4-2023 0:00:00,1,17-3-2022 4:36:00,,17-3-2023 14:11:00,No,No,Rodger,Call,AQ_1,"134,43","57,61",7,"192,04",,"134,62"
GYB220317-8911-29119,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,17-3-2022 0:00:00,24-4-2023 0:00:00,1,17-3-2022 17:18:00,,17-3-2023 14:28:00,No,No,,,,432,0,1,432,,"19,95"
GYB220318-2559-54136,US,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,18-3-2022 0:00:00,18-3-2023 0:00:00,12,18-3-2022 21:11:00,,,No,No,,,,"345,6","86,4",,432,,
GYB220318-3044-81133,US,aq-one-time-pc-support,Support One Time PC Support,,,0,18-3-2022 21:30:00,,,No,No,,,,149,0,,149,,
GYB220318-7477-36126,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,18-3-2022 0:00:00,,36,19-3-2022 2:32:00,,,No,No,,,,684,0,,684,,
GYB220319-2559-14135,US,aq-gyb-support-36-month-plan-hi,Support 36-month Plan,19-3-2022 0:00:00,19-3-2025 0:00:00,36,19-3-2022 18:37:00,,,No,No,,,,684,0,,684,,
GYB220319-2559-92174,IL,aq-gyb-support-12-month-plan-hi,Support 12-month Plan,19-3-2022 0:00:00,26-3-2023 0:00:00,1,19-3-2022 19:02:00,,,No,No,,,,432,0,,432,,
GYB220319-3044-54117,US,aq-one-time-pc-support,Support One Time PC Support,,,0,19-3-2022 16:03:00,,,No,No,,,,"104,3","44,7",,149,,
GYB220319-3588-53150,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 22:40:00,,,No,No,,,,399,"19,95",,"418,95",,
GYB220319-3588-69199,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 22:57:00,,,No,No,,,,399,"19,95",,"418,95",,
GYB220319-3588-77240,UA,gotyourback-support-24-month-plan,Support 24-month plan,,,0,19-3-2022 23:21:00,20-3-2022 6:47:00,,No,Yes,,,,399,"19,95",,"418,95",399,
GYB220319-3588-82300,UA,gotyourback-support-12-month-plan,Support 12-month plan,,,0,19-3-2022 23:57:00,20-3-2022 6:21:00,,No,Yes,,,,299,"19,95",,"318,95",299,
